ID,Job Title,Description,Responsibilities,Basic Qualifications,Preferred Qualifications
1,Senior Data Scientist - Telecommute,"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)
 
 The Consumer Pricing, Analytics & Reporting Team (CPAR) within OptumRx uses sophisticated algorithms and techniques to understand, quantify and inform our product lines of business, operations and leaders with practical insights for improving their services and operations in support of a world-class OptumRx Consumer Experience. The team uses a blend of scientific, problem solving, and quantitative skills to develop and deliver groundbreaking methods addressing critical problems in our digital environment. The CPAR team collaborates across product, design, engineer, and IT teams through data science, machine learning, and AI.
 
 Do you want to be part of a growing data science and data engineering team that is helping to shape the digital experiences for millions of customers? As a Senior Data Scientist, you will work cross-functionally with other data scientists, analysts, business leaders, and product managers to design, develop, and deploy state-of-the-art models, insights & tools that make a meaningful difference to millions of our customers. You will glean actionable insights from Optum’s vast trove of data to translate business problems into predictive models.
 
 This is a unique, high visibility opportunity for someone who wants to have a business impact, dive deep into large-scale data analyses machine learning, reinforcement learning, enable measurable actions and work closely with product and operations teams. This position will report directly to the CPAR Director.","Lead and deliver data science solutions leveraging the latest machine learning techniques, including exploratory data analysis, feature engineering, and selection, model selection, evaluation, and cross-validation, a deployment that operationalizes at scale and that drives value to OptumRx
 Research and apply a range of data science methodologies and machine learning models to complex business problems
 Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks
 Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders","Bachelor’s degree in statistics, mathematics, computer science, engineering, or related discipline
 3+ years of relevant real-world experience researching, developing, and delivering high impact data-driven insights through machine learning
 3+ years of experience using exploratory data analysis, data profiling, and feature engineering on large structured and unstructured datasets
 Hands-on, demonstrable computer programming skill in SQL, Python, R, or similar programming language
 Solid communication skills - ability to succinctly communicate results and tell compelling stories with data to any audience (e.g. presenting findings and deep dives to senior leadership)","Preferred Qualifications
 Master’s degree in statistics, mathematics, computer science, engineering, or related discipline
 Deep knowledge of probability, statistics, and machine learning algorithms with the ability to determine when to apply them
 Deep understanding of supervised and unsupervised machine learning techniques
 Knowledge of Azure, or similar cloud platforms
 Experience presenting to both technical and non-technical audiences and history of publications or presentations at conferences"
2,Senior Principal Data Scientist - Telecommute in CST or EST Time zone,"UnitedHealthcare is a company that's on the rise. We're expanding in multiple directions, across borders and, most of all, in the way we think. Here, innovation isn't about another gadget, it's about transforming the health care industry. Ready to make a difference? Make yourself at home with us and start doing your life's best work.(sm)

The UHC Advanced Research and Analytics (ARA) organization provides data-driven insights and builds advanced AI / ML solutions to the various lines of business and shared services organizations within UnitedHealthcare. The ARA team partners with various entities within the enterprise to increase operational value, optimize experience and lower healthcare costs.

The ARA team serves across a wide variety of business domains including claims processing, payment integrity (fraud, waste, abuse, error), consumer experience (omnichannel, customer service, campaigns, net promoter scores), provider service models, and many more.

This Senior Principal Data Scientist role will work within the Transactions Analytics and Automation Domain to develop transformative solutions that lead to more effective decision-making and more efficient execution across multiple lines of business. This role specifically focuses on supporting Claim Operations teams throughout UnitedHealthcare in their efforts to streamline processes and reduce waste due to rework and appeals.

If you are located or willing to work within Eastern Time zone OR Central Time zone hours, you will have the flexibility to telecommute* as you take on some tough challenges.","Work with vast amounts of data from multiple sources to deliver high-impact actionable insights to senior leadership and business operations; enable data-driven decision-making across the enterprise to improve the efficiency and effectiveness of UHC Operations
Perform exploratory data analysis from structured, unstructured, and diverse datasets; apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement
Make presentations to Sr. executives and decision-makers
Serve as a thought leader for the Transactions Analytics domain. Provide expert advisory services for Benefit Operations strategy, metrics, product development, and analytics vision to senior leadership
Partner with various functions to produce innovative and transformative data science solutions which directly contribute to achieving enterprise goals and vision
Build relationships and drive awareness and knowledge of advanced analytics while promoting the capability areas of Advanced Research & Analytics team
Serve as a subject matter expert in data science dealing specifically with medical claim data utilized and created","10+ years of experience working on data science initiatives in a corporate environment
5+ years of hands-on experience in data analysis, data-driven investigations, data storytelling, visualizations, and analytic insight creation for executive consumption
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools
Experience with R and/or Python
Advanced proficiency in SQL
Advanced proficiency in Excel
Sound business focus; must excel at connecting business requirements to analytic objectives and to measurable business benefit
Experience with extracting data from Enterprise Data Warehouses and Enterprise Data Lakes
Knowledge and experience analyzing Medical claim data, as well as standard processes that generate data through the health care claim adjudication process.
Work within EST and/or CST hours","Master’s Degree or higher in a highly quantitative field
Experience with Spark
Experience with cloud based analytic services
Experience with any of the following: machine learning platforms, data mart development and engineering, advanced statistics, natural language processing, optical character recognition and process mining
Highly experienced in data visualization tools such as Tableau; PowerBI"
3,Data Scientist - Telecommute,"""Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that is improving the lives of millions. Here, innovation is not about another gadget; it is about making health care data available wherever and whenever people need it, safely and reliably. There is no room for error. If you are looking for a better place to use your passion and your desire to drive change, this is the place to be. It's an opportunity to do your life's best work.(sm)

What if predicting infectious disease spread was as common and accepted as weather forecasting? What if we can predict who will develop diseases and conditions before they occur? How can we apply data science to equalize healthcare for everyone?

These are the types of questions that we continually ask ourselves. Our aim is to apply data science to really tough problems in order to save lives. Our world class team of scientists, clinicians, statisticians, engineers with partners in academia and industry are leaning into these and other challenges. We are looking for data scientists to join us on our journey. Do you want to work on things that have direct, tangible impact on peoples’ health? We invite you to join our team and find out how meaningful work can be.""","Use appropriate data sampling, data preparation, analytic and statistical methodology to develop predictive models
Participate in the development of innovative machine learning solutions to solve complex problems
Source, clean and perform exploratory data analysis to verify data integrity and provide input to assist with model development
Provide testing, deployment, and maintenance of existing models
Support business needs around analytics, predictive modeling, and business intelligence
Perform ad-hoc analyses as required
Communicate findings, verbally and visually, to business partners and clients",2+ years of hands-on professional experience in advanced analytics,"BS in science, applied mathematics, (bio) statistics, applied statistics, economics, or similar quantitative fields of study
Data mining / data analysis methods, building and implementing statistical and predictive models
Model validation, testing and tuning
Languages such as Python or R
Ml frameworks such as scikit-learn, TensorFlow, Kera
Big data frameworks such as Hadoop and Hive
Relational databases"
4,Data Scientist - Telecommute,"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

The PacWest Health Plan and Institutional Contract Analytics team within Optum Care is expanding. We are looking for experienced Data Scientists to join this growing team. Senior Data Scientist develops innovative and effective approaches to solve our analytics problems and communicates results and methodologies. Sr. Data Scientist also provides directions and guidelines to Data Scientists to discover business insights, identifies opportunities, and provides solutions and recommendations to solve business problems through the use of statistical, algorithmic, data mining, and visualization techniques. In addition to advanced analytic skills, Sr. Data Scientist is also proficient at integrating and preparing large, varied datasets, architecting specialized database, and computing environments, and communicating results.

You’ll enjoy the flexibility to telecommute* from anywhere within United States as you take on some tough challenges.","Validates data integrity and consistency across data models, streams, and analytics
Develops consistent structures, processes, and formats toward a standardized data management structure
Develops complex reports utilizing analytical tools and expertise to meet organizational requirements
Leads projects and reports on status as requested
Collaborates with key stake holders in defining data models and analytics to support organizational objectives, operational initiatives, and monitoring
Identifies ways to improve data reliability, efficiency and quality
Lead discovery processes and partner with contract analytics leadership to identify the business requirements and the expected outcome
Create and provide sound statistical analyses and frame business scenarios that are meaningful and which impact on critical business processes and/or decisions
Collaborates with the data steward to gather information to be used for analytics and predictive model building purpose and to ensure the data meets the qualification and assurance requirements of the analyses
Design sampling methodology, prepare data, including data cleaning, univariate analysis, missing value imputation, etc., identify appropriate analytic and statistical methodology, develop predictive models and document process and results
Communicate analytics results and predictive models to business partners
Provide on-going tracking and monitoring of performance of statistical models and recommend ongoing improvements to methods and algorithms that lead to findings, including new information
Recommends ongoing improvements to methods and algorithms that lead to findings, including new information","BS degree in computer science, applied mathematics, (bio) statistics, applied statistics, economics, or similar quantitative fields of study
5+ years of experience of hands-on modeling skills and strong analytic programming skills using R or Python
5+ years of experience manipulating large datasets and using databases
3+ years of hands-on experience in data analysis and predictive analytics with machine learning/statistical modeling techniques
3+ years of experience building dashboards using data tools
Experience in data preparation, data profiling, data auditing and data analytics
Experience working with analytical concepts and analytical solutions that can help customers; solutions around healthcare claims cost reduction preferred
Experience learning and working with new concepts and technologies - all the way down to the theorems - and to come out with original solutions to mathematical issues","Experience with health care claims data
Experience with Post Payment Integrity processes
Experience with SQL, Python, Hadoop (MapReduce, PIG, Hive, Spark), R, H2O, or equivalent
UI design experience for automated and-or end-user-interactive visualizations, displays or reports based on the models’ outcomes (for example using Tableau)
Experience with Version Control (for example Git Version Control system)
Working knowledge and understanding of medical coding, including ICD, CPT, DRG, etc."
5,"Data Scientist, Optum360 - Telecommute","Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

Optum 360's Business Intelligence Analytics team is looking for an innovative individual with technical and interpersonal skills to support our vision of taking our organization to the next level by providing effective and actionable insights through implementation of AI models and advanced analytics.

In this role you will be working alongside stakeholders, leadership, and a team of data scientists and engineers to develop innovative solutions and predictive and analytical models such as denials prediction model, risk based account scoring model, propensity to pay model to modernize revenue cycle and improve efficiency.

You'll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.","Collaborate with stakeholders to understand business needs and use case requirements
work with business partners to define and document business and technical requirements for data and analytics projects
participate in the development of innovative solutions to solve complex problems
Perform exploratory data analysis to lead/assist with Advanced Analytics model development
Testing, deployment, and maintenance of existing models
Perform ad-hoc analyses as required
Effectively communicate complex technical results to business partners","Undergraduate degree in any of the quantitative/technical fields (Math, Computer Science, Data Science, Statistics or Economics)
3+ years of professional experience in advanced data analysis OR a Master’s degree plus 1 year of professional experience in advanced data analysis to include:
Experience using data mining / data analysis methods, building and implementing models
Experience with supervised and unsupervised machine learning
Experience with model validation, testing, and communication
Experience with languages like Python, R, Scala, or Spark
Experience with ML frameworks like scikit-learn, Tensorflow, Keras, pandas, etc.
Experience with big data frameworks like Hadoop and Hive
Experience with relational databases
Experience with requirements analysis","Master’s degree
Health care industry experience/revenue cycle experience
Ability to analyze data, drive to root cause issue, identify trends, problem solve and provide key recommendations based on analysis"
6,Sr Data Scientist - Telecommute,"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that is improving the lives of millions. Here, innovation is not about another gadget; it is about making health care data available wherever and whenever people need it, safely and reliably. There is no room for error. If you are looking for a better place to use your passion and your desire to drive change, this is the place to be. It's an opportunity to do your life's best work.(sm)

What if predicting infectious disease spread was as common and accepted as weather forecasting? What if we can predict who will develop diseases and conditions before they occur? How can we apply data science to equalize healthcare for everyone?

These are the types of questions that we continually ask ourselves. Our aim is to apply data science to really tough problems in order to save lives. Our world class team of scientists, clinicians, statisticians, engineers with partners in academia and industry are leaning into these and other challenges. We are looking for data scientists to join us on our journey. Do you want to work on things that have direct, tangible impact on peoples’ health? We invite you to join our team and find out how meaningful work can be.","Apply advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple predictive engines in infectious disease epidemiology
Design and use sampling methodology, prepare data, including data cleaning, multi-variate analysis, apply appropriate analytic and statistical methodology, develop predictive models, use visualization techniques, and document process and results
Propose innovative ways to look at problems using data mining, statistical analysis and machine learning
Communicate findings, verbally and visually, to business partners and clients
Provide on-going tracking and monitoring of performance of statistical models and recommend ongoing improvements to methods and algorithms
Seek out new data sources and verify integrity of data that fill gaps and improve models
Support business needs around analytics, predictive modeling and business intelligence
Cross-train and mentor team members and interns on software skills, data sources and other work aspects","3+ years of hands-on experience in developing analytics with machine learning, deep learning, NLP, and/or other related modeling techniques
3+ years of experience using advanced data science tools such as R, Python, SQL, Spark and H2O
3+ years of experience developing and deploying analytic solutions using AWS/Azure/GCP
3+ years of experience wrangling large datasets with big data tools such as Hadoop, Hive and Spark","BS, Master's or Ph.D. degree in computer science, applied mathematics, (bio) statistics, applied statistics, economics, or similar quantitative fields of study
Experience with health care data
Experience with SQL, Python, Hadoop (MapReduce, PIG, Hive, Spark), R, H2O, or equivalent
UI design experience for automated and-or end-user-interactive visualizations, displays or reports based on the models’ outcomes (for example using Tableau, PowerBI)
Experience with Version Control (for example Git Version Control system)
Working knowledge and understanding of medical coding, including ICD, CPT, DRG, etc."
7,Senior Data Scientist - Telecommute,"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

Are you a curious thought leader who thrives on developing new solutions to solve tough challenges? As a critical member of our Enterprise Reporting and Analytics (ERA) team, you will help rewrite the future of UnitedHealth Group. At Optum, we make healthcare better through innovation and analysis. And we need your talents and business discipline to help fuel that mission. Are you ready to build solutions, analyze data and deliver bold, business-savvy ideas to impact the lives of millions?

You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.","Help optimize how members utilize the health system and how we understand our internal operations and external customers
Make health plans more efficient, identify gaps in member care, and help make the health system better for everyone
Develop and maintain Executive Reporting for the enterprise and subsequent predictive modeling for optimization to deliver KPI deliverables
Bring disparate data to life by providing insights and finding gaps in operations, care and data to make lives better for our members
Bring visibility to risks and productivity across the organization and externally","Bachelor’s degree from an accredited university
3+ years of experience with Data Analysis
3+ years of experience writing code using SQL or Python
Intermediate level of proficiency with predictive analytics and business intelligence tools","Master’s degree
Healthcare Experience
Familiarity with MS Reporting Services (SSRS), DOMO, Power BI, Tableau or other Reporting Tools
Experience with healthcare data"
8,"Senior Data Scientist - Minnetonka, MN or Telecommute","This isn't packaged goods. It's a bigger challenge than that. Here you're making a difference in people's lives, starting with your own. Join us and start doing your life's best work.(sm)

The Senior Data Scientist will produce innovative solutions driven by exploratory data analysis from unstructured, diverse datasets typically measured in gigabytes or larger. Applies knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. Uses a flexible, analytical approach to design, develop, and evaluate predictive and prescriptive models and advanced algorithms that lead to optimal value extraction from the data. Works with analytics and statistical software such as SQL, R, Python, Hadoop and others to perform analysis and interpret data. This function is not intended for employees performing the following work: less complex analysis on small data sets; rules-based algorithmic or descriptive analytics; development of big data infrastructure.

You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges","Support Member Marketing
Perform marketing analytics & modeling work to support and drive insights for campaigns by leveraging ML / AI data science techniques
Understand the client's needs and articulating a solution to drive outcomes
Build relationships with clients to support campaign efforts
Comfortable working with a wide range of stakeholders and functional teams
Passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes","Master’s degree in Math, Statistics, Data Science
3+ years of experience using statistical computer languages (R, Python, SQL, SAS, etc.) to manipulate data and draw insights from large data sets, work experience outside of graduate coursework is preferred.
Experience using a variety of data analysis methods/data mining, using a variety of data tools, building and implementing predictive models, using / creating algorithms and creating / running simulations
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages / drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Deep understanding of data science and ability to deliver models, communicate results and juggle multiple priorities
Experience learning and mastering new technologies and techniques
Experience working independently and creatively solving problems where statistical modeling techniques can be applied
Proven ability to drive business results with their data-based insights","Onsite in Minnetonka, MN"
9,Senior Data Scientist - Telecommute,"If you want to achieve more in your mission of health care, you have to be really smart about the business of health care. Challenge yourself, your peers and our industry by shaping what health care looks like and doing your life's best work.

We’re creating opportunities in every corner of the health care marketplace to improve lives while we’re building careers. And that means continuous career growth opportunities for you. While we support you with the latest tools, advanced training and the combined strength of high caliber co-workers, you can continue on following the path of your life’s best work.

The Sr. Data Scientist will support the data management and advanced analytics environment for a complex, multi-brand organization, and is responsible for applying machine learning and other advanced statistical techniques to provide data-driven solutions. This position is also responsible for the development and leadership of more junior level data science members. The role requires a technologically strong background with an aptitude for working with business stakeholders to manage and solve complex analytical problems that help drive business growth. Main projects will drive the Azure ML platform maturity in the sales and marketing domains to increase sales, lower the cost of acquisition, and improve the consumer experience.

You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.","Work with the data analytics and business teams to integrate and transform lead generation, direct-to-consumer, product, customer experience, recommendations & much more
Engage with business stakeholders to ask the right questions and begin the discovery process
Acquire and prepare data for various analytical and ML projects
Integrate with existing and future state platform and technology
Initial data investigation and exploratory data analysis
Take responsibility for estimating, planning, and managing work and reporting on progress","5+ years of experience related to data, data management and/or data analytics
3+ years of SQL experience
2+ years of Python and/or R experience
2+ years of Azure experience
Ability to create various types of predictive models
ML Ops and/or DevOps experience
Demonstrated ability to communicate complex procedures to technical and non-technical colleagues
Demonstrated attention to detail and desire to probe further into data
Experience with Data Visualization tools such as Tableau or PowerBI
Experience with Unstructured Data
End-to-end understanding of how technologies are integrated","Master’s degree in quantitative field
Machine Learning experience in a sales and/or marketing setting
SAFe experience"
10,Senior Machine Learning Data Scientist - Telecommute,"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

The Commercial data Science team within Optum Insight (OI) Payer Analytics is expanding. We are looking for experienced Data Scientists to join this growing team. This individual will be responsible on the development and delivery of large and complex predictive modeling projects for healthcare Payment Integrity processes. Senior Data Scientist-Post Pay develops innovative and effective approaches to solve client's analytics problems and communicates results and methodologies. Sr. Data Scientist also provides directions and guidelines to Data Scientists to discover business insights, identifies opportunities, and provides solutions and recommendations to solve business problems through the use of statistical, algorithmic, data mining, and visualization techniques. In addition to advanced analytic skills, Sr. Data Scientist is also proficient at integrating and preparing large, varied datasets, architecting specialized database, and computing environments, and communicating results.

You’ll enjoy the flexibility to telecommute* from anywhere within United States as you take on some tough challenges.","Apply advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple predictive detection engines in Optum Insight payer analytics
Lead discovery processes with Data Scientists and partner with Payment Integrity Operation management to identify the business requirements and the expected outcome
Create and provide sound statistical analyses and frame business scenarios that are meaningful and which impact on critical business processes and/or decisions
Collaborates with the data steward to gather information to be used for analytics and predictive model building purpose and to ensure the data meets the qualification and assurance requirements of the analyses
Design sampling methodology, prepare data, including data cleaning, univariate analysis, missing value imputation, etc., identify appropriate analytic and statistical methodology, develop predictive models and document process and results
Communicate analytics results and predictive models to business partners and clients
Provide on-going tracking and monitoring of performance of statistical models and recommend ongoing improvements to methods and algorithms that lead to findings, including new information
Recommends ongoing improvements to methods and algorithms that lead to findings, including new information","BS, Master's or Ph.D. degree in computer science, applied mathematics, (bio) statistics, applied statistics, economics, or similar quantitative fields of study
3+ years of hands-on experience in data analysis and predictive analytics with machine learning/statistical modeling techniques.
5+ years of experience of hands-on modeling skills and strong analytic programming skills using R or Python
5+ years of experience manipulating large datasets and using databases
Experience working with analytical concepts and analytical solutions that can help customers; solutions around healthcare claims cost reduction preferred
Experience learning and working with new concepts and technologies - all the way down to the theorems - and to come out with original solutions to mathematical issues
Telecommute is available for this role","Experience with health care claims data
Experience with Post Payment Integrity processes
Experience with SQL, Python, Hadoop (MapReduce, PIG, Hive, Spark), R, H2O, or equivalent
UI design experience for automated and-or end-user-interactive visualizations, displays or reports based on the models’ outcomes (for example using Tableau)
Experience with Version Control (for example Git Version Control system)
Working knowledge and understanding of medical coding, including ICD, CPT, DRG, etc."
